dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,60-64 years,nested_pseudo90,4,581,0.8123924268502581,0.810671256454389,0.9225874867444327,0.8745748027711513,0.8450946643717728,0.9283489096573209,0.8767413347831485
age_recode,60-64 years,nested_pseudo90,5,562,0.8167259786476868,0.8078291814946619,0.9112814895947426,0.8571849098999952,0.8451957295373665,0.9229122055674518,0.8675891875588825
age_recode,60-64 years,nested_pseudo90_nn20,1,608,0.7697368421052632,0.8256578947368421,0.8989690721649485,0.8305019211342413,0.8453947368421053,0.90020366598778,0.8267480872529646
age_recode,60-64 years,nested_pseudo90_nn20,2,564,0.8014184397163121,0.8049645390070922,0.9227373068432672,0.8754644457053926,0.8457446808510638,0.9171151776103337,0.8567364837992648
age_recode,60-64 years,nested_pseudo90_nn20,3,610,0.8147540983606557,0.8065573770491803,0.910010111223458,0.8553085717069868,0.8442622950819673,0.9150197628458498,0.8541699480134977
age_recode,60-64 years,nested_pseudo90_nn20,4,581,0.8123924268502581,0.810671256454389,0.926829268292683,0.8814474163179375,0.8450946643717728,0.9241952232606438,0.8695959049155049
age_recode,60-64 years,nested_pseudo90_nn20,5,562,0.8167259786476868,0.8078291814946619,0.9069003285870756,0.8501323128580196,0.8451957295373665,0.9229122055674518,0.8675891875588825
age_recode,65-69 years,frozen_tree,1,783,0.8122605363984674,0.8199233716475096,0.9107981220657277,0.8532312971057507,0.8454661558109834,0.9229583975346687,0.8673701079992242
age_recode,65-69 years,frozen_tree,2,787,0.8017789072426937,0.8106734434561627,0.9062253743104807,0.8474747616511074,0.8449809402795425,0.9151234567901234,0.853514971447944
age_recode,65-69 years,frozen_tree,3,753,0.7915006640106241,0.8061088977423638,0.914380714879468,0.8613562670710048,0.8446215139442231,0.9188311688311688,0.8596601680615987
age_recode,65-69 years,frozen_tree,4,771,0.7937743190661478,0.7963683527885862,0.9070146818923328,0.8517927702003071,0.8443579766536965,0.9089469517022961,0.8427210117162167
age_recode,65-69 years,frozen_tree,5,757,0.7939233817701453,0.7965653896961691,0.8986710963455149,0.838451493416853,0.845442536327609,0.9024979854955681,0.8312528826155606
age_recode,65-69 years,nested_pseudo90,1,783,0.8122605363984674,0.8160919540229885,0.9129411764705883,0.8576735929589279,0.8454661558109834,0.926040061633282,0.8726753036792553
age_recode,65-69 years,nested_pseudo90,2,787,0.8017789072426937,0.818297331639136,0.9050980392156863,0.8436930469663144,0.8449809402795425,0.9120370370370371,0.8481882431369602
age_recode,65-69 years,nested_pseudo90,3,753,0.7915006640106241,0.8100929614873837,0.9087893864013267,0.8513569822423958,0.8446215139442231,0.9172077922077922,0.8568533714228309
age_recode,65-69 years,nested_pseudo90,4,771,0.7937743190661478,0.7963683527885862,0.9086460032626428,0.8543928970388981,0.8443579766536965,0.9168646080760094,0.8563974454800238
age_recode,65-69 years,nested_pseudo90,5,757,0.7939233817701453,0.8071334214002642,0.900990099009901,0.8395089756117083,0.845442536327609,0.9073327961321515,0.8396205082709872
age_recode,65-69 years,nested_pseudo90_nn20,1,783,0.8122605363984674,0.8160919540229885,0.9129411764705883,0.8576735929589279,0.8454661558109834,0.9244992295839753,0.8700227058392397
age_recode,65-69 years,nested_pseudo90_nn20,2,787,0.8017789072426937,0.8157560355781448,0.9065200314218381,0.8466832544123618,0.8449809402795425,0.9135802469135802,0.850851607292452
age_recode,65-69 years,nested_pseudo90_nn20,3,753,0.7915006640106241,0.8034528552456839,0.9092422980849292,0.8536523412182022,0.8446215139442231,0.9155844155844156,0.8540465747840629
age_recode,65-69 years,nested_pseudo90_nn20,4,771,0.7937743190661478,0.795071335927367,0.9110204081632653,0.8584598774392965,0.8443579766536965,0.9152810768012668,0.8536621587272624
age_recode,65-69 years,nested_pseudo90_nn20,5,757,0.7939233817701453,0.8058124174372523,0.8984310487200661,0.8357071698910071,0.845442536327609,0.9073327961321515,0.8396205082709872
age_recode,70-74 years,frozen_tree,1,818,0.8056234718826406,0.8276283618581907,0.9206586826347305,0.8674010658389822,0.8447432762836186,0.9244444444444444,0.8698075735728547
age_recode,70-74 years,frozen_tree,2,857,0.8249708284714119,0.822637106184364,0.9235127478753541,0.874307034587999,0.8448074679113186,0.93361285814116,0.886477168979394
